time,symbol,side,entry_price,exit_price,qty,pnl,balance,prob_up_entry
2026-02-09T03:37:22.018241,,UNKNOWN,70358.08,70984.72,0,-8.91,991.09,0.0807
2026-02-09T05:22:36.497032,,UNKNOWN,71021.67,70873.68,0,2.07,993.16,0.033
2026-02-09T07:07:51.807399,,UNKNOWN,70998.86,70664.66,0,4.67,997.83,0.0453
2026-02-09T08:53:05.697909,,UNKNOWN,70696.84,69784.72,0,12.87,1010.71,0.0385
2026-02-09T10:38:20.105833,,UNKNOWN,69937.0,68761.67,0,16.99,1027.69,0.086
2026-02-09T12:23:35.329788,,UNKNOWN,68517.3,69096.01,0,-8.68,1019.01,0.0943
2026-02-09T14:08:50.453474,,UNKNOWN,69011.51,68416.0,0,8.79,1027.81,0.0334
2026-02-09T15:54:08.156398,,UNKNOWN,68523.22,69404.0,0,-13.21,1014.6,0.0517
2026-02-09T20:45:26.260418,,UNKNOWN,70433.75,70806.84,0,-5.3,994.7,0.0431
2026-02-09T22:30:42.024271,,UNKNOWN,70730.54,70444.6,0,4.02,998.72,0.0605
2026-02-10T00:15:56.474437,,UNKNOWN,70463.67,70142.54,0,4.55,1003.28,0.0654
2026-02-10T02:04:42.758145,,UNKNOWN,70048.49,70378.99,0,-4.73,998.54,0.0573
2026-02-10T03:49:57.510474,,UNKNOWN,70302.08,69506.0,0,11.31,1009.85,0.039
2026-02-10T05:35:12.962996,,UNKNOWN,69553.29,69579.77,0,-0.38,1009.46,0.0608
2026-02-10T07:20:28.502603,,UNKNOWN,69617.42,69047.66,0,8.26,1017.73,0.0387
2026-02-10T09:13:03.850209,,UNKNOWN,69070.94,69284.63,0,-3.15,1014.58,0.0486
2026-02-10T10:58:18.933732,,UNKNOWN,69325.08,68997.01,0,4.8,1019.38,0.0277
2026-02-10T12:43:33.915301,,UNKNOWN,68900.13,68582.93,0,4.69,1024.07,0.0392
2026-02-10T15:26:46.932725,,UNKNOWN,69050.0,69221.99,0,-2.49,997.51,0.0263
2026-02-10T17:12:02.004088,,UNKNOWN,69341.47,69381.94,0,-0.58,996.93,0.0464
2026-02-10T18:57:17.183467,,UNKNOWN,69458.36,69000.01,0,6.58,1003.51,0.0337
2026-02-10T20:42:32.010833,,UNKNOWN,68983.78,68831.45,0,2.22,1005.72,0.063
2026-02-10T22:32:16.555018,,UNKNOWN,68959.31,68673.44,0,4.17,1009.89,0.0364
2026-02-11T00:17:31.478811,,UNKNOWN,68720.06,68909.42,0,-2.78,1007.11,0.0303
2026-02-12T19:38:49.737389,,SHORT,65666.41,65961.15,0.007614,-2.24,497.76,0.0703
2026-02-12T22:38:53.676462,,SHORT,65933.99,66021.96,0.007549,-0.66,497.09,0.0523
2026-02-14T21:31:21.196978,,LONG,2087.09,2084.44,0.000878,-0.0,1.83,0.4018
2026-02-14T21:46:21.740901,,LONG,69871.19,69842.02,2.6e-05,-0.0,1.83,0.4099
2026-02-15T00:01:29.983446,,LONG,2084.05,2083.94,0.000879,-0.0,1.83,0.4003
2026-02-16T09:34:49.249783,SOL/USDT,SHORT,85.24,85.98,0.0215079,-0.015916,1.817417,0.4753
2026-02-16T15:08:40.025670,ETH/USDT,SHORT,1987.28,1984.9,0.00092253,0.002196,1.835529,0.4743
2026-02-21T12:30:50.197405,SOL/USDT,LONG,85.48,85.09,0.06434254,-0.025094,5.474906,0.5787
