2026-01-21 20:16:11.700763,BUY,89523.64,0,900,0.547390878200531
2026-01-22 11:49:28.287650,BTC/USDT,BUY,90036.43,0,900,0.550111711025238
2026-01-22 12:09:31.998347,BTC/USDT,TIME EXIT,90123.0,0.09614996951791,1000.0961499695179,0.5407042503356934
2026-01-22 13:38:09.209691,BTC/USDT,BUY,89943.49,0,900.0961499695179,0.5518729090690613
2026-01-22 13:42:10.629924,BTC/USDT,STRATEGY EXIT,89845.59,-0.10884612104779023,999.9873038484701,0.6202577948570251
2026-01-22 14:22:19.793538,BTC/USDT,BUY,89924.78,0,899.9873038484701,0.5450934171676636
2026-01-22 16:15:30.659068,BTC/USDT,BUY,90046.39,0,900,0.5652734041213989
2026-01-22 16:34:34.178836,BTC/USDT,STRATEGY EXIT,90037.83,-0.009506211187371605,999.9904937888126,0.6196502447128296
2026-01-22 16:38:34.915572,BTC/USDT,BUY,90071.0,0,899.9904937888126,0.5578035712242126
2026-01-22 16:43:35.831284,BTC/USDT,STRATEGY EXIT,90001.2,-0.07749442106783988,999.9129993677448,0.6408823728561401
2026-01-22 17:17:42.044522,BTC/USDT,BUY,90064.46,0,899.9129993677448,0.5417101383209229
2026-01-22 17:23:43.156309,BTC/USDT,STRATEGY EXIT,89909.52,-0.1720323421691603,999.7409670255756,0.6476816534996033
